2	12:00 AM	Space Ghost Coast to Coast	ATHF	ATHF	ATHF	ATHF	ATHF	Bleach 
3	12:15 AM	Sealab 2021	Tim and Eric	Tim and Eric	Tim and Eric	Tim and Eric	Tim and Eric	Bleach 
4	12:30 AM	ATHF	Bleach	Bleach	Bleach	Bleach	Bleach	Inuyasha
5	1:00 AM	Robot Chicken	Samurai Champloo	Samurai Champloo	Samurai Champloo	Samurai Champloo	Samurai Champloo	FMA
6	1:30	The Boondocks	FMA Brotherbood	FMA Brotherbood	FMA Brotherbood	FMA Brotherbood	Shin Chan	Shin Chan
7	2:00 AM	On Cinema at the Cinema	Futurama	Futurama	Futurama	Family Guy	Futurama	Paranoia Agent
8	2:15 AM	On Cinema at the Cinema	Futurama	Futurama	Futurama	Family Guy	Futurama	Paranoia Agent
9	2:30 AM	On Cinema at the Cinema	Family Guy	Family Guy	Family Guy	Family Guy	Family Guy	Death Note
10	2:45 AM	On Cinema at the Cinema	Family Guy	Family Guy	Family Guy	Family Guy	Family Guy	Death Note
11	3:00 AM	Tim and Eric	Robot Chicken	Robot Chicken	Robot Chicken	Robot Chicken	Robot Chicken	Rocky Horrror
12	3:15	ATHF	ATHF	ATHF	ATHF	ATHF	ATHF	Rocky Horrror
13	3:30 AM	The Boondocks	Bleach	Bleach	Bleach	Bleach	Bleach	Rocky Horrror
14	4:00 AM	Home Movies	Cowboy Bebop	Cowboy Bebop	Cowboy Bebop	Cowboy Bebop	Cowboy Bebop	Rocky Horrror
15	4:30	Harvey Birdman	Death Note	Death Note	Death Note	Death Note	Death Note	The Boondocks @ 4;38
16	5:00 AM	Space Ghost Coast to Coast	Lupin the Third Part II	Lupin the Third Part II	Lupin the Third Part II	Lupin the Third Part II	Lupin the Third Part II	Robot Chicken
17	5:30 AM	Sealab 2021	Case Closed	Case Closed	Case Closed	Case Closed	Case Closed	ATHF
18	6:00	Camp Lazlo	Camp Lazlo	Camp Lazlo	Camp Lazlo	Camp Lazlo	Dexters Lab	Dexters Lab
19	6:30 AM	Courage	Tom and erry	Courage	Tom and Jerry	Courage	Johnny Bravo	Johnny Bravo
20	7:00 AM	Star Wars TCW	Star Wars TCW	Star Wars TCW	Star Wars TCW	Star Wars TCW	Ed Edd n Eddy	Ed Edd n Eddy
21	7:30 AM	Star Wars TCW	Star Wars TCW	Star Wars TCW	Star Wars TCW	Star Wars TCW	PPG	PPG
22	8:00 AM	Totally Spies	Static Shock	Totally Spies	Static Shock	Totally Spies	Courage	Courage
23	8:30 AM	Code Lyoko	Code Lyoko	Code Lyoko	Code Lyoko	Code Lyoko	Billy and Mandy	Billy and Mandy
24	9:00 AM	Pokemon Johto	Pokemon Johto	Pokemon Johto	Pokemon Johto	Pokemon Johto	Kids Next Door	Kids Next Door
25	9:30	Yugioh DM	Yugioh DM	Yugioh DM	Yugioh DM	Yugioh DM	Fosters	Fosters
26	10:00 AM	Fosters	KND	Ed Edd n Eddy	Billy and Mandy	Movies	Time Squad	Time Squad
27	10:30 AM	Fosters	KND	Ed Edd n Eddy	Billy and Mandy	Movies	Batman TAS	Megas XLR
28	11:00 AM	Fosters	KND	Ed Edd n Eddy	Billy and Mandy	Movies	Avatar TLA	Batman TAS
29	11:30 AM	Fosters	KND	Ed Edd n Eddy	Billy and Mandy	Movies	Avatar TLA	Avatar TLA
31	12:30	Movies	Ben 10	Juniper Lee	Courage	Movies	Cartoon Theater	Cartoon Theater
33	1:00 PM	Movies	Courage	Billy and Mandy	Johnny Bravo	Ed Edd n Eddy	Cartoon Theater	Cartoon Theater
34	1:30 PM	Movies	Courage	Billy and Mandy	Johnny Bravo	Ed Edd n Eddy	Cartoon Theater	Cartoon Theater
35	2:00 PM	Movies	Courage	Billy and Mandy	Johnny Bravo	Ed Edd n Eddy	What's New Scooby-Doo	What's New Scooby-Doo
36	2:30 PM	Movies	Courage	Billy and Mandy	Johnny Bravo	Ed Edd n Eddy	Ben 10	Ben 10
37	3:00 PM	Camp Lazlo	Dexters Lab	Camp Lazlo	Dexters Lab	Camp Lazlo	Mucha Lucha	Mucha Lucha
38	3:30 PM	PPG	What's New Scooby-Doo	PPG	What's New Scooby-Doo	PPG	Courage	Courage
39	4:00 PM	Sailor Moon	Sailor Moon	Sailor Moon	Sailor Moon	Sailor Moon	Totally Spies	Totally Spies
40	4:25 PM	YuYu	YuYu	YuYu	YuYu	YuYu	Static Shock	Static Shock
41	4:50 PM	DBZ (Run A)	DBZ (Run A)	DBZ (Run A)	DBZ (Run A)	DBZ (Run A)	Code Lyoko	Code Lyoko
42	5:15 PM	One Piece	One Piece	One Piece	One Piece	One Piece	Megas XLR	Megas XLR
43	5:40 PM	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	Naruto Shippuden	KND	KND
44	6:10 PM	Outlaw Star	Zatch Bell	Outlaw Star	Zatch Bell	Outlaw Star	Ed Edd n Eddy	Ed Edd n Eddy
45	6:35 PM	Gundam Wing	Justice League	Gundam Wing	Justice League	Gundam Wing	Billy and Mandy	Billy and Mandy
46	7:00 PM	KND	KND	KND	KND	Fosters	The Batman	The Batman
47	7:30 PM	Billy and Mandy	Billy and Mandy	Billy and Mandy	Billy and Mandy	HiHiPuffyAmiYumi	Justice League Unlimited	Justice League Unlimited 
48	8:00 PM	Pokemon Johto	Hi Hi Puffy Ami Yumi	Pokemon Johto	Hi Hi Puffy Ami Yumi	Camp Lazlo	Teen Titans	Teen Titans
49	8:30 PM	Juniper Lee	Ed Edd n Eddy	Juniper Lee	Ed Edd n Eddy	Billy and Mandy	Zatch Bell	Zatch Bell
50	9:00 PM	Mucha Lucha	Totally Spies	Mucha Lucha	Totally Spies	Juniper Lee	DBZ (Run C)	DBZ (Run C)
51	9:30 PM	Yu-Gi-Oh!	Yu-Gi-Oh!	Yu-Gi-Oh!	Yu-Gi-Oh!	Ed Ed n Eddy	One Piece (Season 1)	One Piece (Season 1)
53	10:30 PM	DBZ (Run B)	DBZ (Run B)	DBZ (Run B)	DBZ (Run B)	PPG	BoBoBo	BoBoBo
54	11:00 PM	Family Guy	Futurama	Futurama	Futurama	Futurama	Space Ghost C2C	The Boondocks
55	11:24 PM	Futurama	Family Guy	Family Guy	Family Guy	Family Guy	The Boondocks	Harvey Birdman Attorney at Law
56	11:47 PM	Robot Chicken	Robot Chicken	Robot Chicken	Robot Chicken	Robot Chicken	Samurai Champloo	Tim and Eric's Awesome Show
